"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"40",70410,146260,1734.05606093869,257.391644580644,6553,139707,2466,67944,12178,32801.5,102382,69638,73755,2867,63887,5459,1064,102382,34535.5560609387,75850,0.740852884296068,4087,0.0399191264089391,1476.66441635804,0.0144230862491262,22100.164416358,0.215859862244907
"41",70697,146260,1741.80268592498,255.807906995657,6604,139656,2537,68160,12421.5,33020,102382,69118,74259,2883,64154,5521,1022,102382,34761.802685925,75563,0.738049657166299,4067,0.0397237795706277,1485.99477892932,0.0145142190905562,22084.4947789293,0.215706811538447
"42",70239,146260,1748.5096376691,255.607469441978,6477,139783,2497,67742,12378.5,32828.5,102382,68901,74430,2929,63719,5494,1026,102382,34577.0096376691,76021,0.74252309976363,3980,0.038874020823973,1492.90216822712,0.0145816859235718,21942.9021682271,0.214323828097001
"43",70560,146260,1745.19872036888,257.34065853312,6581,139679,2497,68063,12418.5,33084.5,102382,69257,74092,2911,63954,5591,1015,102382,34829.6987203689,75700,0.739387783008732,4084,0.0398898243831924,1487.85806183576,0.0145324184117888,22153.8580618358,0.216384306438981
"44",70591,146260,1741.85892251916,255.029472117983,6542,139718,2536,68055,12870,32807,102382,69077,74303,2880,64095,5498,998,102382,34548.8589225192,75669,0.739084995409349,4006,0.0391279717137778,1486.82945040118,0.014522371612209,21423.8294504012,0.20925386738295
"45",70416,146260,1749.02199127301,255.817900282955,6558,139702,2504,67912,12395,32762,102382,68958,74417,2885,63919,5470,1027,102382,34511.021991273,75844,0.740794280244574,4054,0.0395968041257252,1493.20409099005,0.0145846349064294,21860.20409099,0.213516087700866
"46",70334,146260,1741.73367949036,257.322424913297,6586,139674,2491,67843,12101.5,33241,102382,69281,74115,2864,63700,5618,1016,102382,34982.7336794904,75926,0.741595202281651,4095,0.0399972651442636,1484.41125457707,0.0144987522667761,22623.9112545771,0.220975476690991
"47",70528,146260,1736.89598340875,258.009727638353,6631,139629,2421,68107,12279.5,33438.5,102382,69340,74057,2863,63921,5561,1046,102382,35175.3959834088,75732,0.73970033795003,4210,0.0411205094645543,1478.8862557704,0.0144447877143482,22637.8862557704,0.221111975305917
"48",70868,146260,1747.18975601682,256.877353834907,6589,139671,2468,68400,12285,32955.5,102382,69106,74203,2951,64275,5611,982,102382,34702.6897560168,75392,0.736379441698736,4121,0.0402512160340685,1490.31240218192,0.0145563907931269,22160.8124021819,0.216452231858939
"49",70560,146260,1752.05914407133,256.77828011608,6682,139578,2509,68051,12439.5,33675,102382,68779,74540,2941,63900,5676,984,102382,35427.0591440713,75700,0.739387783008732,4173,0.0407591178136782,1495.28086395525,0.0146049194580615,22730.7808639552,0.222019308706172
